iter	Logloss
0	0.6821407742
1	0.6728697459
2	0.6629970974
3	0.6543659634
4	0.6457789103
5	0.6364554511
6	0.6304434035
7	0.6223953247
8	0.6134479099
9	0.6067948659
10	0.6019739363
11	0.5931464301
12	0.5859619141
13	0.5794230143
14	0.5710382673
15	0.56333402
16	0.5550993601
17	0.5510926141
18	0.543608941
19	0.535423957
20	0.530046463
21	0.5217907376
22	0.5162008921
23	0.5106809828
24	0.5041340298
25	0.4982119242
26	0.4924625821
27	0.4868984646
28	0.4813785129
29	0.4751628876
30	0.4703553942
31	0.4648684184
32	0.4584255642
33	0.4524391598
34	0.4472805023
35	0.442944675
36	0.4372122871
37	0.4323687659
38	0.4273284912
39	0.4220232646
40	0.417355601
41	0.4136210971
42	0.4090800815
43	0.4037497626
44	0.400385242
45	0.3958657159
46	0.3918226878
47	0.3867872026
48	0.3838839213
49	0.3808162265
50	0.3764461093
51	0.372091802
52	0.3673018985
53	0.3644343058
54	0.3615892622
55	0.3587900798
56	0.3557899051
57	0.3522878647
58	0.3490042369
59	0.3458493763
60	0.341860644
61	0.3388919406
62	0.3348843045
63	0.3323884116
64	0.3296666675
65	0.3276352564
66	0.3254958259
67	0.3230801264
68	0.3195024914
69	0.3168654124
70	0.3139091704
71	0.3104922613
72	0.3075593736
73	0.3053652869
74	0.3029349009
75	0.3003820843
76	0.2981495327
77	0.296260198
78	0.2932393816
79	0.2914839851
80	0.2892813153
81	0.28703395
82	0.2843113369
83	0.2824960497
84	0.28015124
85	0.2778048621
86	0.2751759423
87	0.2732831319
88	0.2710689121
89	0.2681415982
90	0.2660656187
91	0.2633628845
92	0.2619174957
93	0.2600905948
94	0.2581926558
95	0.2556296031
96	0.25329255
97	0.2508056429
98	0.2490005281
99	0.2468697018
100	0.2453138563
101	0.2439064026
102	0.2423409568
103	0.2406306161
104	0.2391204834
105	0.2374709447
106	0.2354761336
107	0.233917745
108	0.2325338576
109	0.2312349319
110	0.2295112186
111	0.2281646093
112	0.2268081665
113	0.2255205366
114	0.2238419851
115	0.2223697238
116	0.2209723367
117	0.2191958533
118	0.2183494144
119	0.2164646573
120	0.2146399604
121	0.2130843057
122	0.2114256965
123	0.2100394567
124	0.2086174223
125	0.207431878
126	0.2063505809
127	0.204771275
128	0.2032062107
129	0.2023730808
130	0.200841607
131	0.1998522864
132	0.199041748
133	0.1977265252
134	0.1967864143
135	0.1957971573
136	0.1943159739
137	0.1933600532
138	0.1924065484
139	0.1914669461
140	0.1903574626
141	0.1889672597
142	0.1874650743
143	0.1862843831
144	0.1847218619
145	0.1832094616
146	0.1824050056
147	0.181366645
148	0.1803692288
149	0.1794667986
150	0.1785049015
151	0.1777426084
152	0.1770422406
153	0.176225641
154	0.1751558304
155	0.17397995
156	0.1730742243
157	0.1722142326
158	0.1710708936
159	0.1701489555
160	0.1691143036
161	0.1682942073
162	0.1668643316
163	0.1662069639
164	0.1654429754
165	0.1649198956
166	0.1637765884
167	0.162969833
168	0.1621529049
169	0.1612557199
170	0.160627683
171	0.1596171061
172	0.1585477617
173	0.1577807956
174	0.1571269141
175	0.1565070682
176	0.1556836658
177	0.1545681106
178	0.1538857036
179	0.1529360559
180	0.1522006035
181	0.1513503287
182	0.1504407671
183	0.1496623039
184	0.1490243488
185	0.1481724633
186	0.1471953922
187	0.1466531542
188	0.1458323479
189	0.1449571398
190	0.1442600886
191	0.1434723748
192	0.142950503
193	0.1421904246
194	0.1415480296
195	0.1407926665
196	0.1399077521
197	0.1391683578
198	0.1385684013
199	0.137822236
200	0.1369366646
201	0.1358086692
202	0.1350676219
203	0.134744676
204	0.1340784709
205	0.1337462425
206	0.1332942857
207	0.1327012592
208	0.1320081499
209	0.1315032111
210	0.1309052149
211	0.1302001953
212	0.1294495371
213	0.128854741
214	0.1283209271
215	0.1276794328
216	0.1268603643
217	0.1263592614
218	0.1259326511
219	0.1252044572
220	0.1246784846
221	0.1241585096
222	0.1236979061
223	0.1231686698
224	0.1226945559
225	0.1222083833
226	0.1216928376
227	0.1212894122
228	0.1206771215
229	0.1199186855
230	0.1193387138
231	0.1185161379
232	0.118039608
233	0.1173496352
234	0.1169169108
235	0.1165412903
236	0.1162398868
237	0.1159125328
238	0.1152850363
239	0.1147059759
240	0.1140880373
241	0.1132941352
242	0.1128902117
243	0.1123299175
244	0.1118617058
245	0.1114641402
246	0.1110707495
247	0.1104472266
248	0.1101170858
249	0.1096122106
250	0.1091818492
251	0.1089014371
252	0.1084202872
253	0.1078337457
254	0.1074217796
255	0.1071248796
256	0.1067032496
257	0.1062384711
258	0.1057391273
259	0.1052307023
260	0.1049843682
261	0.104513571
262	0.1041258176
263	0.1037906859
264	0.1033816655
265	0.1027465185
266	0.102183787
267	0.1020382987
268	0.1014965057
269	0.101149114
270	0.1005114449
271	0.1000649346
272	0.09959818522
273	0.09918081495
274	0.09866665734
275	0.09827757941
276	0.09796835581
277	0.0976688385
278	0.09719473521
279	0.09681948556
280	0.09653836356
281	0.09616485172
282	0.0957069185
283	0.09528373082
284	0.09482928382
285	0.09455201891
286	0.09421985414
287	0.09371539222
288	0.09322192934
289	0.09300238291
290	0.09260465834
291	0.09217308892
292	0.0916817983
293	0.09129266739
294	0.09088052114
295	0.09035877652
296	0.09000493156
297	0.08963985443
298	0.08933768802
299	0.08888715108
300	0.08840213882
301	0.08809230593
302	0.08790617519
303	0.08750304646
304	0.08725821177
305	0.08697345522
306	0.08661943012
307	0.08638766077
308	0.08593921661
309	0.08566435708
310	0.08525293138
311	0.08495907254
312	0.0845949067
313	0.08414284388
314	0.0838813093
315	0.08367320167
316	0.08325707118
317	0.08295574188
318	0.08273862203
319	0.08242284987
320	0.08199889925
321	0.08176984257
322	0.0814666854
323	0.08122445212
324	0.08096973631
325	0.08069027795
326	0.08042703205
327	0.08002546098
328	0.07959727711
329	0.07925489744
330	0.07889792124
331	0.07847410838
332	0.07833487193
333	0.07799687915
334	0.07780265808
335	0.07743206024
336	0.07716831631
337	0.07681104342
338	0.07647131814
339	0.07625287374
340	0.07596404817
341	0.07566699982
342	0.07542112139
343	0.07515599993
344	0.07501666811
345	0.07472789552
346	0.07454815441
347	0.07419397566
348	0.07397002114
349	0.07377592723
350	0.07354744805
351	0.07325332959
352	0.07291680442
353	0.07274285422
354	0.07244207064
355	0.07221097416
356	0.07191203435
357	0.07163950602
358	0.07142950694
359	0.07119123671
360	0.07093407843
361	0.07070791456
362	0.0704401652
363	0.07020395067
364	0.06998116175
365	0.06974025832
366	0.06941046185
367	0.06911254989
368	0.06897464858
369	0.0687625991
370	0.06852411694
371	0.06828930643
372	0.06805470255
373	0.06773955027
374	0.06736896303
375	0.06707587242
376	0.06682809194
377	0.06659305361
378	0.06642168893
379	0.06615312364
380	0.06593800651
381	0.06564155685
382	0.06543414858
383	0.06531685193
384	0.06511815919
385	0.06490938399
386	0.06477954653
387	0.0645614836
388	0.06435259713
389	0.06414648162
390	0.06381494204
391	0.06357744535
392	0.06325711674
393	0.06310598585
394	0.06294816335
395	0.06274998453
396	0.06243243217
397	0.06211811701
398	0.06189455456
399	0.06169278887
400	0.06145346959
401	0.06119630072
402	0.06103702121
403	0.06079448594
404	0.06060362392
405	0.06036339866
406	0.06024063428
407	0.06007474793
408	0.05985210207
409	0.05962003602
410	0.0594168875
411	0.05912979974
412	0.05895993974
413	0.05874760946
414	0.05863373015
415	0.05835552745
416	0.05808071031
417	0.05783247418
418	0.05762542089
419	0.05742021137
420	0.05713824696
421	0.05682491726
422	0.0566617012
423	0.05647496647
424	0.05605513255
425	0.05589034292
426	0.05563314226
427	0.05546422535
428	0.05526914067
429	0.05507211685
430	0.05494181315
431	0.05474095874
432	0.05456255277
433	0.05444118182
434	0.05423119863
435	0.05407643848
436	0.05391613642
437	0.05374773873
438	0.05357398457
439	0.05343994035
440	0.05332811673
441	0.05312829547
442	0.05295448303
443	0.05277094311
444	0.05257914861
445	0.05236351225
446	0.05221442117
447	0.05206396315
448	0.05193019443
449	0.05163473553
450	0.05141266717
451	0.05130465825
452	0.05117025905
453	0.05099546644
454	0.05085647371
455	0.05067980025
456	0.05045120451
457	0.05029643377
458	0.05013538996
459	0.04999821451
460	0.04987211227
461	0.04974915187
462	0.04961237378
463	0.04946585761
464	0.04932556152
465	0.04921483994
466	0.04907227092
467	0.04900116391
468	0.04883810149
469	0.04868428972
470	0.04847862456
471	0.04823833572
472	0.04809195201
473	0.04794656436
474	0.04780465232
475	0.04767093658
476	0.0474536207
477	0.04733108415
478	0.04719626109
479	0.04706821442
480	0.04681851599
481	0.04670914544
482	0.04652412203
483	0.04636999236
484	0.04622614649
485	0.04614300728
486	0.04598193698
487	0.04583142598
488	0.04568610721
489	0.04556487401
490	0.04544934167
491	0.04536899991
492	0.04521679348
493	0.04506429566
494	0.04488476647
495	0.04472365909
496	0.0445795695
497	0.04446985986
498	0.0442994833
499	0.04414655897
